Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/29,Tuesday,INSTAGRAM,97,Social Media
8/29,Tuesday,TIKTOK,178,Entertainment
8/29,Tuesday,MESSAGES ,118,Social Media
8/29,Tuesday,YOUTUBE,93,Entertainment
8/29,Tuesday,MUSI,42,Entertainment
8/30,Wednesday,YOUTUBE ,147,Entertainment
8/30,Wednesday,MUSI ,139,Entertainment
8/30,Wednesday,TIKTOK,98,Entertainment
8/30,Wednesday,MESSAGES ,86,Social Media
8/30,Wednesday,INSTAGRAM,55,Social Media
8/31,Thursday,MESSAGES ,88,Social Media
8/31,Thursday,TIKTOK,85,Entertainment
8/31,Thursday,MUSI,68,Entertainment
8/31,Thursday,INSTAGRAM,64,Social Media
8/31,Thursday,YOUTUBE ,53,Entertainment
9/1,Friday,YOUTUBE ,84,Entertainment
9/1,Friday,TIKTOK,76,Entertainment
9/1,Friday,INSTAGRAM,76,Social Media
9/1,Friday,MESSAGES ,62,Social Media
9/2,Saturday,TIKTOK,82,Entertainment
9/2,Saturday,MESSAGES ,74,Social Media
9/2,Saturday,YOUTUBE,61,Entertainment
9/2,Saturday,NETFLIX ,49,Entertainment
9/2,Saturday,INSTAGRAM,48,Social Media
9/3,Sunday,TIKTOK ,145,Entertainment
9/3,Sunday,INSTAGRAM,138,Social Media
9/3,Sunday,NETFLIX ,96,Entertainment
9/3,Sunday,MESSAGES ,83,Social Media
9/3,Sunday,YOUTUBE,61,Entertainment
9/3,Sunday,MUSI,39,Entertainment
9/4,Monday,INSTAGRAM,281,Social Media
9/4,Monday,TIKTOK,138,Entertainment
9/4,Monday,MESSAGES ,68,Social Media
9/4,Monday,YOUTUBE,13,Entertainment
